name,brightness
MVI_0494 01.jpg,70
MVI_0494 02.jpg,70
MVI_0494 03.jpg,70
MVI_0494 04.jpg,73
MVI_0494 05.jpg,67
MVI_0494 06.jpg,71
MVI_0494 07.jpg,66
MVI_0494 08.jpg,70
MVI_0494 09.jpg,80
MVI_0494 10.jpg,68
MVI_0494 11.jpg,48
MVI_0494 12.jpg,54
MVI_0494 13.jpg,65
MVI_0494 14.jpg,67
MVI_0494 15.jpg,67
MVI_0494 16.jpg,62
MVI_0494 17.jpg,56
MVI_0494 18.jpg,55
MVI_0494 19.jpg,60
MVI_0494 20.jpg,53
MVI_0494 21.jpg,63
MVI_0494 22.jpg,63
MVI_0494 23.jpg,51
MVI_0494 24.jpg,67
MVI_0494 25.jpg,65
MVI_0494 26.jpg,67
MVI_0494 27.jpg,67
MVI_0494 28.jpg,74
MVI_0494 29.jpg,73
MVI_0494 30.jpg,81
MVI_0494 31.jpg,63
MVI_0494 32.jpg,56
MVI_0494 33.jpg,47
MVI_0494 34.jpg,54
MVI_0494 35.jpg,62
MVI_0494 36.jpg,67
MVI_0494 37.jpg,57
MVI_0494 38.jpg,62
MVI_0494 39.jpg,65
MVI_0494 40.jpg,62
MVI_0494 41.jpg,71
MVI_0494 42.jpg,45
MVI_0494 43.jpg,51
MVI_0494 44.jpg,49
MVI_0494 45.jpg,46
MVI_0494 46.jpg,61
MVI_0494 47.jpg,56
MVI_0494 48.jpg,45
MVI_0494 49.jpg,41
